chr	start	end	strand	transcript_id	gene_name	TSS
chr1	3214482	3671498	-	NM_001011874	Xkr4	3671498
chr1	4119866	4360303	-	NM_001370921	Rp1	4360303
chr1	4290846	4409241	-	NM_001195662	Rp1	4409241
chr1	4343507	4360314	-	NM_011283	Rp1	4360314
chr1	4490928	4497354	-	NM_001289466	Sox17	4497354
chr1	4490928	4497354	-	NM_011441	Sox17	4497354
chr1	4490928	4497354	-	NM_001289464	Sox17	4497354
chr1	4490928	4497354	-	NM_001289467	Sox17	4497354
chr1	4490928	4497354	-	NM_001289465	Sox17	4497354
chr1	4773200	4785726	-	NR_033530	Mrpl15	4785726
chr1	4773200	4785726	-	NM_001177658	Mrpl15	4785726
chr1	4773200	4785726	-	NM_025300	Mrpl15	4785726
chr1	4807823	4846735	+	NM_008866	Lypla1	4807823
chr1	4807823	4846735	+	NM_001355712	Lypla1	4807823
chr1	4857694	4897909	+	NM_011541	Tcea1	4857694
chr1	4857694	4897909	+	NM_001159750	Tcea1	4857694
chr1	4858328	4897909	+	NM_001159751	Tcea1	4858328
chr1	4909576	5018734	-	NM_001290372	Rgs20	5018734
chr1	4909576	5019539	-	NM_021374	Rgs20	5019539
chr1	4909576	5070285	-	NM_001177795	Rgs20	5070285
chr1	5083086	5162549	+	NM_001310442	Atp6v1h	5083086
chr1	5083086	5162549	+	NM_133826	Atp6v1h	5083086
chr1	5588493	5606133	+	NM_001318735	Oprk1	5588493
chr1	5588493	5606133	+	NM_011011	Oprk1	5588493
chr1	5588493	5606133	+	NM_001204371	Oprk1	5588493
chr1	5913707	5917398	-	NM_010342	Npbwr1	5917398
chr1	6214662	6276104	+	NM_009826	Rb1cc1	6214662
chr1	6359331	6394731	+	NM_001195732	Alkal1	6359331
chr1	6487231	6860940	+	NM_001244693	St18	6487231
chr1	6487231	6860940	+	NM_001244692	St18	6487231
chr1	6730051	6860940	+	NM_173868	St18	6730051
chr1	6730051	6860940	+	NR_045188	St18	6730051
chr1	6730051	6860940	+	NR_045189	St18	6730051
chr1	7088920	7173628	+	NM_183028	Pcmtd1	7088920
chr1	8359739	9299877	-	NM_001290390	Sntg1	9299877
chr1	8359739	9299877	-	NM_001290392	Sntg1	9299877
chr1	8359739	9299877	-	NM_027671	Sntg1	9299877
chr1	8359739	9299877	-	NM_001290393	Sntg1	9299877
chr1	9545408	9547455	+	NM_021511	Rrs1	9545408
chr1	9547948	9577970	+	NM_001357376	Adhfe1	9547948
chr1	9547948	9577970	+	NM_001357378	Adhfe1	9547948
chr1	9547948	9577970	+	NM_175236	Adhfe1	9547948
chr1	9547948	9577970	+	NM_001357377	Adhfe1	9547948
chr1	9560833	9631092	-	NR_015470	2610203C22Rik	9631092
chr1	9601267	9627142	+	NM_178399	Vxn	9601267
chr1	9667411	9700209	-	NM_001290397	Mybl1	9700209
chr1	9667411	9700209	-	NM_008651	Mybl1	9700209
chr1	9718622	9748382	-	NM_173443	Vcpip1	9748382
chr1	9747648	9771256	+	NR_040462	1700034P13Rik	9747648
chr1	9798130	9902568	+	NM_177547	Sgk3	9798130
chr1	9798130	9902568	+	NM_133220	Sgk3	9798130
chr1	9848281	9902568	+	NM_001037759	Sgk3	9848281
chr1	9908638	9940954	+	NM_177722	Mcmdc2	9908638
chr1	9942025	9944118	-	NR_024067	Snhg6	9944118
chr1	9942470	9942543	-	NR_004410	Snord87	9942543
chr1	9960163	9967810	-	NM_001285425	Tcf24	9967810
chr1	9968622	10009136	-	NR_110971	Ppp1r42	10009136
chr1	9968622	10009136	-	NM_145692	Ppp1r42	10009136
chr1	10024600	10038159	-	NM_013715	Cops5	10038159
chr1	10024600	10038159	-	NM_001277101	Cops5	10038159
chr1	10024600	10038159	-	NR_102282	Cops5	10038159
chr1	10038218	10136768	+	NM_026493	Cspp1	10038218
chr1	10046493	10136768	+	NM_001368816	Cspp1	10046493
chr1	10137507	10232670	-	NM_001102430	Arfgef1	10232670
chr1	10324719	10719945	-	NM_001289497	Cpa6	10719945
chr1	10324719	10719945	-	NM_177834	Cpa6	10719945
chr1	10708387	10865874	-	NR_030645	Mir467e	10865874
chr1	10993465	11303682	+	NM_029525	Prex2	10993465
chr1	11263963	11303682	+	NM_001033636	Prex2	11263963
chr1	11414105	11601821	+	NM_001160370	A830018L16Rik	11414105
chr1	11414105	11975902	+	NM_001160369	A830018L16Rik	11414105
chr1	11414105	11975902	+	NM_001310451	A830018L16Rik	11414105
chr1	11414105	11601821	+	NM_001160371	A830018L16Rik	11414105
chr1	11414105	11975902	+	NM_177173	A830018L16Rik	11414105
chr1	11414105	11975902	+	NM_001374633	A830018L16Rik	11414105
chr1	11414105	11975902	+	NM_001374634	A830018L16Rik	11414105
chr1	12425986	12426106	+	NR_105759	Mir6341	12425986
chr1	12667563	12673090	+	NR_045297	Gm17644	12667563
chr1	12692430	12860372	+	NM_001198565	Sulf1	12692430
chr1	12692430	12860372	+	NM_001198566	Sulf1	12692430
chr1	12718545	12860372	+	NM_172294	Sulf1	12718545
chr1	12866550	12991135	-	NM_172841	Slco5a1	12991135
chr1	13113428	13127163	-	NM_001081209	Prdm14	13127163
chr1	13139105	13374083	-	NM_008678	Ncoa2	13374083
chr1	13139105	13372429	-	NM_001302702	Ncoa2	13372429
chr1	13564693	13589910	-	NM_028173	Tram1	13589910
chr1	13625900	13660509	-	NM_145381	Lactb2	13660509
chr1	13668771	13701723	+	NM_001011873	Xkr9	13668771
chr1	13785685	13786929	-	NR_004447	Gm5523	13786929
