name group
GSM3748950_181218_snm3Cseq_hs_21yr_BA10_UMB5577_3_UMB5577_3_F11_AD007.chr3.normalized.rwr.bedpe A
GSM3749084_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD001.chr3.normalized.rwr.bedpe A
GSM3749092_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD008.chr3.normalized.rwr.bedpe A
GSM3749094_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD002.chr3.normalized.rwr.bedpe A
GSM3749100_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A12_AD012.chr3.normalized.rwr.bedpe A
GSM3749105_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD002.chr3.normalized.rwr.bedpe A
GSM3749107_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD006.chr3.normalized.rwr.bedpe A
GSM3749109_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD012.chr3.normalized.rwr.bedpe A
GSM3749119_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD007.chr3.normalized.rwr.bedpe A
GSM3749122_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD012.chr3.normalized.rwr.bedpe A
GSM3749143_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A8_AD010.chr3.normalized.rwr.bedpe A
GSM3749155_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD012.chr3.normalized.rwr.bedpe A
GSM3749162_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD010.chr3.normalized.rwr.bedpe A
GSM3749174_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD006.chr3.normalized.rwr.bedpe A
GSM3749176_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD008.chr3.normalized.rwr.bedpe A
GSM3749177_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD010.chr3.normalized.rwr.bedpe A
GSM3749182_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD007.chr3.normalized.rwr.bedpe A
GSM3749188_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD006.chr3.normalized.rwr.bedpe A
GSM3749193_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD004.chr3.normalized.rwr.bedpe A
GSM3749196_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD012.chr3.normalized.rwr.bedpe A
GSM3749199_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD004.chr3.normalized.rwr.bedpe A
GSM3749206_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD006.chr3.normalized.rwr.bedpe A
GSM3749210_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD012.chr3.normalized.rwr.bedpe A
GSM3749220_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD007.chr3.normalized.rwr.bedpe A
GSM3749222_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD010.chr3.normalized.rwr.bedpe A
GSM3749224_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B9_AD002.chr3.normalized.rwr.bedpe A
GSM3749225_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B9_AD007.chr3.normalized.rwr.bedpe A
GSM3749228_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C10_AD001.chr3.normalized.rwr.bedpe A
GSM3749235_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD002.chr3.normalized.rwr.bedpe A
GSM3749240_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD010.chr3.normalized.rwr.bedpe A
GSM3749241_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD012.chr3.normalized.rwr.bedpe A
GSM3749242_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD001.chr3.normalized.rwr.bedpe A
GSM3749248_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD010.chr3.normalized.rwr.bedpe A
GSM3749249_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD012.chr3.normalized.rwr.bedpe A
GSM3749254_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD008.chr3.normalized.rwr.bedpe A
GSM3749259_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C2_AD007.chr3.normalized.rwr.bedpe A
GSM3749260_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C2_AD010.chr3.normalized.rwr.bedpe A
GSM3749274_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C4_AD012.chr3.normalized.rwr.bedpe A
GSM3749276_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C5_AD002.chr3.normalized.rwr.bedpe A
GSM3749277_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C5_AD004.chr3.normalized.rwr.bedpe A
GSM3749278_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C5_AD006.chr3.normalized.rwr.bedpe A
GSM3749282_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C5_AD012.chr3.normalized.rwr.bedpe A
GSM3749291_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C7_AD002.chr3.normalized.rwr.bedpe A
GSM3749300_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C8_AD007.chr3.normalized.rwr.bedpe A
GSM3749305_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C9_AD004.chr3.normalized.rwr.bedpe A
GSM3749307_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C9_AD007.chr3.normalized.rwr.bedpe A
